original,translate
Resistant to Electric Damage,抵抗电击伤害
Resistant to Fire Damage,抵抗火焰伤害
Resistant to Psychic Damage,抵抗心灵伤害
Resistant to Non-Magical Damage,抵抗非魔法伤害
Resistant to Physical Damage,抵抗物理伤害
Vulnerable to Slashing Damage,易受割伤伤害
Vulnerable to Blunt Damage,易受钝击伤害影响
Vulnerable to Piercing Damage,易受穿刺伤害影响
Vulnerable to Magical Damage,易受魔法伤害影响
Vulnerable to Cold Damage,易受寒冷伤害影响
Vulnerable to Acid Damage,易受酸性伤害影响
Vulnerable to Kinetic Damage,易受动能伤害影响
Vulnerable to Sublime Damage,易受超凡伤害影响
Vulnerable to Electric Damage,易受电击伤害影响
Vulnerable to Fire Damage,易受火焰伤害影响
Vulnerable to Psychic Damage,易受心灵伤害影响
Vulnerable to Non-Magical Damage,易受非魔法伤害影响
Vulnerable to Physical Damage,易受物理伤害影响
Immune to Slashing Damage,对割伤伤害免疫
Immune to Blunt Damage,对钝击伤害免疫
Immune to Piercing Damage,对穿刺伤害免疫
Immune to Magical Damage,对魔法伤害免疫
Immune to Cold Damage,对寒冷伤害免疫
Immune to Acid Damage,对酸性伤害免疫
Immune to Kinetic Damage,对动能伤害免疫
Immune to Sublime Damage,对超凡伤害免疫
Immune to Electric Damage,免受电伤
Immune to Fire Damage,免受火伤
Immune to Psychic Damage,免受心灵伤害
Immune to Non-Magical Damage,免受非魔法伤害
Immune to Physical Damage,免受物理伤害
#Combatant is out of ammo!,#参战者弹药用尽！
{PLAYER} is out of ammo!,__PLACEHOLDER_0__ 弹药用尽！
Kat is out of ammo!,卡特弹药用尽！
Roland is out of ammo!,罗兰弹药用尽！
Driina is out of ammo!,德里娜弹药用尽！
Iben is out of ammo!,伊本弹药用尽！
Iago is out of ammo!,伊戈弹药用尽！
Embla is out of ammo!,埃姆拉弹药用尽！
#Combatant passes!,#参战者通过了！
{PLAYER} passes!,__PLACEHOLDER_0__ 通过了！
Kat passes!,卡特通过了！
Roland passes!,罗兰通过了！
Driina passes!,德里娜通过了！
Iben passes!,伊本通过了！
Iago passes!,伊戈通过了！
Embla passes!,伊姆拉通过了！
#Combatant Shifts,#战斗者变换
{PLAYER} Shifts,__PLACEHOLDER_0__ 变换
Kat Shifts,卡特变换
Roland Shifts,罗兰变换
Driina Shifts,德里娜变换
Iben Shifts,伊本变换
Iago Shifts,伊戈变换
Embla Shifts,伊姆拉变换
#Combatant defends,#战斗者防御
{PLAYER} Defends,__PLACEHOLDER_0__ 防御
Kat Defends,卡特防御
Roland Defends,罗兰防御
Driina Defends,德里娜防御
Iben Defends,伊本防御
Iago Defends,伊戈防御
Embla Defends,伊姆拉防御
#Combatant Disengages,#战斗者脱离战斗
{PLAYER} Disengages,__PLACEHOLDER_0__ 脱离战斗
Kat Disengages,卡特脱离战斗
Roland Disengages,罗兰解除动作
Driina Disengages,德里娜解除动作
Iben Disengages,伊本解除动作
Iago Disengages,伊戈解除动作
Embla Disengages,伊姆拉解除动作
#Combatant holds his action,#参战者保留动作
{PLAYER} holds his action,__PLACEHOLDER_0__ 保留动作
{PLAYER} holds her action,__PLACEHOLDER_0__ 保留动作
Kat holds her action,卡特保留动作
Roland holds his action,罗兰保留动作
Driina holds her action,德里娜保留动作
Iben holds his action,伊本保留动作
Iago holds his action,伊戈保留动作
Embla holds her action,伊姆拉保留动作
#Combatant acts,#参战者行动
{PLAYER} acts,__PLACEHOLDER_0__ 行动
Kat acts,卡特行动
Roland acts,罗兰行动
Driina acts,德里娜行动
Iben acts,伊本行动
Iago acts,Iago 行动
Embla acts,Embla 行动
Giant Bat acts,巨蝙蝠 行动
Giant Beetle acts,巨甲虫 行动
Rhino Beetle acts,巨犀甲虫 行动
Carrion Crawler acts,腐肉爬行者 行动
Giant Centipede acts,巨蝎子 行动
Fell Crab acts,深海蟹 行动
Corpse Eater acts,尸体食者 行动
Giant Crab acts,巨蟹 行动
Crab acts,蟹 行动
Rot Crab acts,腐烂蟹 行动
Spider Crab acts,巨蟹 行动
Brood Guard acts,群落卫士 行动
Father acts,父亲 行动
Deep One Priestess acts,深海女祭司 行动
Deep One Queen acts,深海女王 行动
Deep One Warrior acts,深海战士 行动
Devolved acts,退化者 行动
Ghoul acts,吠尸 行动
Frost Ghoul acts,冰尸的行为
Giant Gnat acts,巨型蚊子的行为
Cave Gnat acts,山洞蚊子的行为
Fell Hog acts,深渊野猪的行为
Dire Hound acts,巨型猎犬的行为
Fell Hound acts,深渊猎犬的行为
Ice Hound acts,冰霜猎犬的行为
Ice Strider acts,冰霜行者的行为
Shadow Stalker acts,影行者的行为
Giant Leech acts,巨型吸血藤的行为
Albino Leech acts,白化吸血藤的行为
Bloodletter acts,血书兽的行为
Fell Lizard acts,深渊蜥蜴的行为
Alpha Lizard acts,领主蜥蜴的行为
Giant Lizard acts,巨型蜥蜴的行为
Ice Salamander acts,冰霜火蜥蜴的行为
Mold Child acts,藻人幼体的行为
Ooze acts,浑浊物的行为
Flesh Ooze acts,肉状浑浊物的行为
Medusa Jelly acts,美杜莎果冻兽的行为
Risen Ooze acts,复生的黏液行动
Magma Ooze acts,熔岩黏液行动
Magmite acts,熔岩黏液行动
Large Ooze acts,大型黏液行动
Giant Rat acts,巨鼠行动
Dire Rat acts,恶魔鼠行动
Chitters-In-Darkness acts,黑暗低语者行动
Rabid Rat acts,狂暴鼠行动
Shade acts,阴影行动
Dire Serpent acts,恶魔蟒行动
Fell Serpent acts,恶魔蟒行动
Giant Snake acts,巨型蟒蛇行动
Fleshstrider acts,肉行者行动
Flying Polyp acts,飞行的水泡行动
Dragon's Herald acts,龙的使者行动
Evolved acts,进化行动
Newborne acts,新生行动
Vessel acts,容器行动
Stalker acts,潜行者行动
Giant Spider acts,巨型蜘蛛行动
Large Spider acts,大蜘蛛行动
Shambler acts,摇摇晃晃者行动
Frost Shambler acts,冰霜摇摇晃晃者行动
Reaver Berserker acts,攫取狂战士行动
Brigand Archer acts,地下盗贼弓箭手行动
Brigand Rogue acts,地下盗贼盗贼行动
Brigand Swordsman acts,地下盗贼剑士行动
Mad Sailor acts,疯狂水手行动
Mad Sailo acts,疯狂水手行动
Guild Magos acts,行会魔导士行动
Guild Mag acts,行会魔导士行动
Wight acts,僵尸行动
Feral Clone acts,野性克隆体行动
Jester acts,小丑行动
Reaver Brute acts,攫取野蛮人行动
Reaver Scout acts,攫取侦察兵行动
Reaver acts,攫取者行动
Reaver Blackguard acts,攫取黑卫士行动
Reaver Mystic acts,攫取神秘学士行动
Cultist acts,教派信徒行动
Bobbert the Recruit acts,招募兵鲍伯伯特行动
Wreck Picker acts,破坏拾荒者行动
Oleg the Gray acts,灰色奥列格行动
Red Kala acts,红色卡拉行动
The Butcher acts,屠夫行动
Snow acts,雪人行动
The Ancient King acts,古老国王行动
Joran the Usurper acts,篡位者约兰行动
Baroness acts,邦夫人行动
Handmaid acts,女仆行动
Majordomo acts,家庭总管行动
#Combatant begun,#战斗者开始
{PLAYER} begun,__PLACEHOLDER_0__ 开始
Kat begun,卡特开始
Roland begun,罗兰开始
Driina begun,迪里娜开始
Iben begun,伊本开始
Iago begun,伊阿哥开始
Embla begun,伊姆拉开始
Giant Bat begun,巨型蝙蝠开始
Giant Beetle begun,巨型甲虫开始行动
Rhino Beetle begun,犀牛甲虫开始行动
Carrion Crawler begun,腐肉爬行者开始行动
Giant Centipede begun,巨型蜈蚣开始行动
Fell Crab begun,坠落螃蟹开始行动
Corpse Eater begun,尸体食者开始行动
Giant Crab begun,巨型螃蟹开始行动
Crab begun,螃蟹开始行动
Rot Crab begun,腐烂螃蟹开始行动
Spider Crab begun,巨型蟹开始行动
Brood Guard begun,群落卫士开始行动
Father begun,父亲开始行动
Deep One Priestess begun,深海女祭司开始行动
Deep One Queen begun,深海女王开始行动
Deep One Warrior begun,深海战士开始行动
Devolved begun,退化者开始行动
Ghoul begun,吠lok开始行动
Frost Ghoul begun,寒冰吠lok开始行动
Giant Gnat begun,巨型蚋开始行动
Cave Gnat begun,山洞蚋开始行动
Fell Hog begun,残暴野猪开始行动
Dire Hound begun,巨狼开始行动
Fell Hound begun,残暴狼开始行动
Ice Hound begun,冰狼开始行动
Ice Strider begun,冰行者开始行动
Shadow Stalker begun,阴影追踪者开始行动
Giant Leech begun,巨型蚂蟥开始行动
Albino Leech begun,白化蚂蟥开始行动
Bloodletter begun,血书者开始行动
Fell Lizard begun,残暴蜥蜴开始行动
Alpha Lizard begun,领主蜥蜴开始行动
Giant Lizard begun,巨型蜥蜴开始行动
Ice Salamander begun,冰元素蜥蜴开始行动
Mold Child begun,藻人开始行动
Ooze begun,浑浊物开始行动
Flesh Ooze begun,肉状浑浊物开始行动
Medusa Jelly begun,美杜莎果冻开始行动
Risen Ooze begun,复生浑浊物开始行动
Magma Ooze begun,熔岩浑浊物开始行动
Magmite begun,熔铁开始行动
Large Ooze begun,大型黏液开始行动
Giant Rat begun,巨鼠开始行动
Dire Rat begun,恶魔鼠开始行动
Chitters-In-Darkness begun,黑暗耳语者开始行动
Rabid Rat begun,疯狂鼠开始行动
Shade begun,阴影开始行动
Dire Serpent begun,恶魔蟒开始行动
Fell Serpent begun,残酷蟒开始行动
Giant Snake begun,巨蛇开始行动
Fleshstrider begun,肉行者开始行动
Flying Polyp begun,飞行的水泡开始行动
Dragon's Herald begun,龙的使者开始行动
Evolved begun,进化开始
Newborne begun,新生者开始
Vessel begun,载体开始
Stalker begun,跟踪者开始行动
Giant Spider begun,巨魔蜘蛛开始行动
Large Spider begun,大型蜘蛛开始行动
Shambler begun,摇摇晃晃者开始行动
Frost Shambler begun,寒冰摇摇晃晃者开始行动
Reaver Berserker begun,残暴掠夺者狂战士开始行动
Brigand Archer begun,海盗弓手开始行动
Brigand Rogue begun,海盗盗贼开始行动
Brigand Swordsman begun,海盗剑士开始行动
Mad Sailor begun,疯狂水手开始行动
Mad Sailo begun,疯狂水手开始行动
Guild Magos begun,行会法师开始行动
Guild Mag begun,行会法师开始行动
Wight begun,魔尸开始行动
Feral Clone begun,野性克隆体开始行动
Jester begun,小丑开始行动
Reaver Brute begun,残暴掠夺者猛男开始行动
Reaver Scout begun,残暴掠夺者侦察兵开始行动
Reaver begun,残暴掠夺者开始行动
Reaver Blackguard begun,残暴掠夺者黑卫开始行动
Reaver Mystic begun,残暴掠夺者灵能者开始行动
Cultist begun,教派成员开始行动
Bobbert the Recruit begun,沃伯特新兵开始行动
Wreck Picker begun,废墟拾荒者开始行动
Oleg the Gray begun,格雷奥列开始行动
Red Kala begun,红卡拉开始了
The Butcher begun,屠夫开始了
Snow begun,雪开始了
The Ancient King begun,古老国王开始了
Joran the Usurper begun,约ran篡位者开始了
Baroness begun,伯爵夫人开始了
Handmaid begun,女仆开始了
Majordomo begun,总管开始了
#Combatant recovers from surprise!,#参战者从惊讶中恢复过来！
{PLAYER} recovers from surprise!,__PLACEHOLDER_0__ 从惊讶中恢复过来！
Kat  recovers from surprise!,卡特从惊讶中恢复过来！
Roland recovers from surprise!,罗兰从惊讶中恢复过来！
Driina recovers from surprise!,德里娜从惊讶中恢复过来！
Iben recovers from surprise!,伊本从惊讶中恢复过来！
Iago recovers from surprise!,伊阿哥从惊讶中恢复过来！
Embla recovers from surprise!,伊姆拉从惊讶中恢复过来！
Giant Bat recovers from surprise!,巨蝙蝠从惊讶中恢复过来！
Giant Beetle recovers from surprise!,巨甲虫从惊讶中恢复过来！
Rhino Beetle recovers from surprise!,犀金龟从惊讶中恢复过来！
Carrion Crawler recovers from surprise!,腐肉爬行者从惊讶中恢复过来！
Giant Centipede recovers from surprise!,巨蝎从惊讶中恢复过来！
Fell Crab recovers from surprise!,巨型螃蟹从惊讶中恢复过来！
Corpse Eater recovers from surprise!,尸体吞噬者从惊讶中恢复过来！
Giant Crab recovers from surprise!,巨型螃蟹从惊讶中恢复过来！
Crab recovers from surprise!,螃蟹从惊讶中恢复过来！
Rot Crab recovers from surprise!,腐烂螃蟹从惊讶中恢复过来！
Spider Crab recovers from surprise!,石蟹从惊讶中恢复过来！
Brood Guard recovers from surprise!,群落卫士从惊讶中恢复过来！
Father recovers from surprise!,父亲从惊讶中恢复过来！
Deep One Priestess recovers from surprise!,深渊女祭司从惊讶中恢复过来！
Deep One Queen recovers from surprise!,深渊女王从惊讶中恢复过来！
Deep One Warrior recovers from surprise!,深渊战士从惊讶中恢复过来！
Devolved recovers from surprise!,退化者从惊讶中恢复过来！
Ghoul recovers from surprise!,地ombie从惊讶中恢复过来！
Frost Ghoul recovers from surprise!,寒霜地ombie从惊讶中恢复过来！
Giant Gnat recovers from surprise!,巨型蚊子从惊讶中恢复过来！
Cave Gnat recovers from surprise!,山洞蚊子从惊讶中恢复过来！
Fell Hog recovers from surprise!,巨型野猪从惊讶中恢复过来！
Dire Hound recovers from surprise!,残暴猎犬从惊讶中恢复过来！
Fell Hound recovers from surprise!,巨型猎犬从惊讶中恢复过来！
Ice Hound recovers from surprise!,冰狼恢复了惊喜状态！
Ice Strider recovers from surprise!,冰行者恢复了惊喜状态！
Shadow Stalker recovers from surprise!,阴影追踪者恢复了惊喜状态！
Giant Leech recovers from surprise!,巨型吸血虫恢复了惊喜状态！
Albino Leech recovers from surprise!,白化吸血虫恢复了惊喜状态！
Bloodletter recovers from surprise!,血书者恢复了惊喜状态！
Fell Lizard recovers from surprise!,堕落蜥蜴恢复了惊喜状态！
Alpha Lizard recovers from surprise!,雌雄同体蜥蜴恢复了惊喜状态！
Giant Lizard recovers from surprise!,巨型蜥蜴恢复了惊喜状态！
Ice Salamander recovers from surprise!,冰龙蜥恢复了惊喜状态！
Mold Child recovers from surprise!,藻人恢复了惊喜状态！
Ooze recovers from surprise!,浑浊物恢复了惊喜状态！
Flesh Ooze recovers from surprise!,石化触手恢复了惊喜状态！
Medusa Jelly recovers from surprise!,巨型浑浊物恢复了惊喜状态！
Risen Ooze recovers from surprise!,火山浑浊物恢复了惊喜状态！
Magma Ooze recovers from surprise!,火石恢复了惊喜状态！
Magmite recovers from surprise!,大型浑浊物恢复了惊喜状态！
Large Ooze recovers from surprise!,巨型老鼠恢复了惊喜状态！
Giant Rat recovers from surprise!,巨型野鼠恢复了惊喜状态！
Dire Rat recovers from surprise!,巨型野鼠恢复了惊喜状态！
Chitters-In-Darkness recovers from surprise!,黑暗之呢喃从惊讶中恢复过来！
Rabid Rat recovers from surprise!,狂暴鼠从惊讶中恢复过来！
Shade recovers from surprise!,阴影从惊讶中恢复过来！
Dire Serpent recovers from surprise!,残酷巨蛇从惊讶中恢复过来！
Fell Serpent recovers from surprise!,恶魔巨蛇从惊讶中恢复过来！
Giant Snake recovers from surprise!,巨型蟒蛇从惊讶中恢复过来！
Fleshstrider recovers from surprise!,肉行者从惊讶中恢复过来！
Flying Polyp recovers from surprise!,飞行的多泡体从惊讶中恢复过来！
Dragon's Herald recovers from surprise!,龙使者从惊讶中恢复过来！
Evolved recovers from surprise!,进化者从惊讶中恢复过来！
Newborne recovers from surprise!,新生者从惊讶中恢复过来！
Vessel recovers from surprise!,载体从惊讶中恢复过来！
Stalker recovers from surprise!,潜行者从惊讶中恢复过来！
Giant Spider recovers from surprise!,巨型蜘蛛从惊讶中恢复过来！
Large Spider recovers from surprise!,大型蜘蛛从惊讶中恢复过来！
Shambler recovers from surprise!,摇摇晃晃者从惊讶中恢复过来！
Frost Shambler recovers from surprise!,寒霜摇摇晃晃者从惊讶中恢复过来！
Reaver Berserker recovers from surprise!,攫取狂战士从惊讶中恢复过来！
Brigand Archer recovers from surprise!,海盗弓手从惊讶中恢复过来！
Brigand Rogue recovers from surprise!,海盗盗贼从惊讶中恢复过来！
Brigand Swordsman recovers from surprise!,暴徒剑士从惊讶中恢复过来！
Mad Sailor recovers from surprise!,疯狂水手从惊讶中恢复过来！
Mad Sailo recovers from surprise!,疯狂水手从惊讶中恢复过来！
Guild Magos recovers from surprise!,行会魔导士从惊讶中恢复过来！
Guild Mag recovers from surprise!,行会魔导士从惊讶中恢复过来！
Wight recovers from surprise!,鬼影从惊讶中恢复过来！
Feral Clone recovers from surprise!,野性克隆体从惊讶中恢复过来！
Jester recovers from surprise!,小丑从惊讶中恢复过来！
Reaver Brute recovers from surprise!,剥夺者猛士从惊讶中恢复过来！
Reaver Scout recovers from surprise!,剥夺者斥候从惊讶中恢复过来！
Reaver recovers from surprise!,剥夺者从惊讶中恢复过来！
Reaver Blackguard recovers from surprise!,剥夺者黑卫从惊讶中恢复过来！
Reaver Mystic recovers from surprise!,剥夺者神秘学者从惊讶中恢复过来！
Cultist recovers from surprise!,教派教徒从惊讶中恢复过来！
Bobbert the Recruit recovers from surprise!,招募兵鲍勃伯特从惊讶中恢复过来！
Wreck Picker recovers from surprise!,残骸拾荒者从惊讶中恢复过来！
Oleg the Gray recovers from surprise!,灰色奥列格从惊讶中恢复过来！
Red Kala recovers from surprise!,红色卡拉从惊讶中恢复过来！
The Butcher recovers from surprise!,屠夫从惊讶中恢复过来！
Snow recovers from surprise!,雪从惊讶中恢复过来！
The Ancient King recovers from surprise!,古老的国王从惊讶中恢复过来！
Joran the Usurper recovers from surprise!,篡位者乔兰从惊讶中恢复过来！
Baroness recovers from surprise!,邦女爵从惊讶中恢复过来！
Handmaid recovers from surprise!,女侍从惊讶中恢复过来！
Majordomo recovers from surprise!,家宰从惊讶中恢复过来！
#Combatant is occupied!,#Combatant is occupied!
{PLAYER} is occupied!,战斗者被占据！
Kat is occupied!,__PLACEHOLDER_0__ is occupied!
Roland is occupied!,__PLACEHOLDER_0__被占据！
Driina is occupied!,凯特被占据！
Iben is occupied!,罗兰被占据！
Iago is occupied!,德莉娜被占据！
Embla is occupied!,伊本被占据！
Giant Bat is occupied!,伊阿哥被占据！
Giant Beetle is occupied!,伊姆拉被占据！
Rhino Beetle is occupied!,巨蝙蝠被占据！
Carrion Crawler is occupied!,巨型甲虫被占据！
Giant Centipede is occupied!,犀牛甲虫被占据！
Fell Crab is occupied!,腐肉爬行者被占据！
Corpse Eater is occupied!,巨型百足虫被占据！
Giant Crab is occupied!,大螃蟹被占据了！
Crab is occupied!,螃蟹被占据了！
Rot Crab is occupied!,腐烂螃蟹被占据了！
Spider Crab is occupied!,石蟹被占据了！
Brood Guard is occupied!,群落卫士被占据了！
Father is occupied!,父亲被占据了！
Deep One Priestess is occupied!,深海祭司被占据了！
Deep One Queen is occupied!,深海女王被占据了！
Deep One Warrior is occupied!,深海战士被占据了！
Devolved is occupied!,退化者被占据了！
Ghoul is occupied!,腐尸人被占据了！
Frost Ghoul is occupied!,寒霜腐尸人被占据了！
Giant Gnat is occupied!,巨型蚊子被占据了！
Cave Gnat is occupied!,山洞蚊子被占据了！
Fell Hog is occupied!,凶恶野猪被占据了！
Dire Hound is occupied!,狼犬被占据了！
Fell Hound is occupied!,凶恶犬被占据了！
Ice Hound is occupied!,冰霜犬被占据了！
Ice Strider is occupied!,冰行者被占据了！
Shadow Stalker is occupied!,影行者被占据了！
Giant Leech is occupied!,巨魔吸血鬼已占据！
Albino Leech is occupied!,白化魔吸血鬼已占据！
Bloodletter is occupied!,血书兽已占据！
Fell Lizard is occupied!,残暴蜥蜴人已占据！
Alpha Lizard is occupied!,雅法蜥蜴人已占据！
Giant Lizard is occupied!,巨型蜥蜴人已占据！
Ice Salamander is occupied!,冰焰蜥蜴人已占据！
Mold Child is occupied!,藻人幼体已占据！
Ooze is occupied!,糊状物已占据！
Flesh Ooze is occupied!,肉状物已占据！
Medusa Jelly is occupied!,美杜莎果冻已占据！
Risen Ooze is occupied!,复生糊状物已占据！
Magma Ooze is occupied!,熔岩糊状物已占据！
Magmite is occupied!,熔岩体已占据！
Large Ooze is occupied!,大型糊状物已占据！
Giant Rat is occupied!,巨型老鼠已占据！
Dire Rat is occupied!,残暴老鼠已占据！
Chitters-In-Darkness is occupied!,黑暗耳语者已占据！
Rabid Rat is occupied!,狂暴老鼠已占据！
Shade is occupied!,阴影已占据！
Dire Serpent is occupied!,无情巨蛇占位！
Fell Serpent is occupied!,恶名蛇占位！
Giant Snake is occupied!,巨型蟒蛇占位！
Fleshstrider is occupied!,肉行者占位！
Flying Polyp is occupied!,飞行触手占位！
Dragon's Herald is occupied!,龙使占位！
Evolved is occupied!,进化中占位！
Newborne is occupied!,新生者占位！
Vessel is occupied!,载体占位！
Stalker is occupied!,跟踪者占位！
Giant Spider is occupied!,巨型蜘蛛占位！
Large Spider is occupied!,大型蜘蛛占位！
Shambler is occupied!,摇摇晃晃者占位！
Frost Shambler is occupied!,寒霜摇摇晃晃者占位！
Reaver Berserker is occupied!,攫取狂战士占位！
Brigand Archer is occupied!,海盗弓箭手占位！
Brigand Rogue is occupied!,海盗盗贼占位！
Brigand Swordsman is occupied!,海盗剑士占位！
Mad Sailor is occupied!,狂暴水手占位！
Mad Sailo is occupied!,狂暴水手占位！
Guild Magos is occupied!,行会魔导士已满员！
Guild Mag is occupied!,行会魔导士已满员！
Wight is occupied!,阴尸已满员！
Feral Clone is occupied!,野性克隆体已满员！
Jester is occupied!,小丑已满员！
Reaver Brute is occupied!,破坏者猛士已满员！
Reaver Scout is occupied!,破坏者斥候已满员！
Reaver is occupied!,破坏者已满员！
Reaver Blackguard is occupied!,破坏者黑卫已满员！
Reaver Mystic is occupied!,破坏者灵士已满员！
Cultist is occupied!,教派成员已满员！
Bobbert the Recruit is occupied!,招募兵鲍勃伯特已满员！
Wreck Picker is occupied!,破坏拾荒者已满员！
Oleg the Gray is occupied!,格雷奥列格已满员！
Red Kala is occupied!,红卡拉已满员！
The Butcher is occupied!,屠夫已满员！
Snow is occupied!,雪已满员！
The Ancient King is occupied!,古老国王已满员！
Joran the Usurper is occupied!,乌索普者已满员！
Baroness is occupied!,伯爵夫人已满员！
Handmaid is occupied!,宫女已占位！
Majordomo is occupied!,家宰已占位！
#Combatant does not have a valid target!,#战斗者没有有效的目标！
{PLAYER} does not have a valid target!,__PLACEHOLDER_0__ 没有有效的目标！
Kat does not have a valid target!,凯特没有有效的目标！
Roland does not have a valid target!,罗兰没有有效的目标！
Driina does not have a valid target!,德瑞娜没有有效的目标！
Iben does not have a valid target!,伊本没有有效的目标！
Iago does not have a valid target!,伊阿哥没有有效的目标！
Embla does not have a valid target!,伊姆拉没有有效的目标！
Giant Bat does not have a valid target!,巨蝙蝠没有有效的目标！
Giant Beetle does not have a valid target!,巨型甲虫没有有效的目标！
Rhino Beetle does not have a valid target!,巨角甲虫没有有效的目标！
Carrion Crawler does not have a valid target!,腐肉蠕虫没有有效的目标！
Giant Centipede does not have a valid target!,巨型百足虫没有有效的目标！
Fell Crab does not have a valid target!,恶灵蟹没有有效的目标！
Corpse Eater does not have a valid target!,尸体食者没有有效的目标！
Giant Crab does not have a valid target!,巨型螃蟹没有有效的目标！
Crab does not have a valid target!,螃蟹没有有效的目标！
Rot Crab does not have a valid target!,腐烂螃蟹没有有效的目标！
Spider Crab does not have a valid target!,网球蟹没有有效的目标！
Brood Guard does not have a valid target!,群落卫士没有有效的目标！
Father does not have a valid target!,父亲没有有效的目标！
