original,translate
Fire Magic Initiate,火系魔法学徒
Fire Magic Expert,火系魔法专家
Fire Magic Master,火系魔法宗师
Fire Magic Grand Master,火系魔法大宗师
Light Weapons Initiate,轻型武器学徒
Light Weapons Expert,轻型武器专家
Touched by the Reticulum,蕾提库鲁姆之触
Ranged Weapons Initiate,远程武器学徒
#NPC Feats,#NPC 特技
Warrior,战士
#Rogue Feats,#盗贼特技
Bardic Magic Initiate,吟游诗人魔法学徒
Bardic Magic Expert,吟游诗人魔法专家
Bardic Magic Master,吟游诗人魔法宗师
Bardic Spellcasting,吟游诗人法术施放
Backstab Initiate,背刺学徒
Backstab Expert,背刺专家
Backstab Master,背刺宗师
Backstab Grand Master,背刺大宗师
Bard Initiate,吟游诗人学徒
Bard Expert,吟游诗人专精
Bard Master,吟游诗人大师
Tradecraft,商贸技艺
Duelist Initiate,格斗初学者
Duelist Expert,格斗专家
Duelist Master,格斗大师
Duelist Grand-Master,格斗宗师
Mobility Initiate,机动性初学者
Mobility Expert,机动性专家
Mobility Master,机动性大师
Rogue Blade Initiate,盗贼短兵初学者
Rogue Blade Expert,盗贼短兵专家
Rogue Ranged Initiate,盗贼远程初学者
Rogue Ranged Expert,盗贼远程专家
Survivor Initiate,生存者初学者
Survivor Expert,生存者专家
Survivor Master,生存者大师
Thievery Initiate,盗贼技巧初学者
Thievery Expert,盗贼技巧专家
Thievery Master,盗贼技巧大师
#Wanderer Feats,#流浪者特技
Nature Spellcasting,自然法术施放
You gain the ability to learn spells from the Nature School,你获得了从自然学派学习法术的能力
Nature Magic Initiate,自然魔法初学者
You may now cast Tier 1 spells of the Nature School,你现在可以施放自然学派的1级法术
Nature Magic Expert,自然魔法专家
You may now cast Tier 2 spells of the Nature School,你现在可以施放自然学派的2级法术
Nature Magic Master,自然魔法大师
You may now cast Tier 3 spells of the Nature School,你现在可以施放自然学派的3级法术
Nature Magic Grand Master,自然魔法宗师
You may now cast Tier 4 spells of the Nature School,你现在可以施放自然学派的4级法术
#Warrior Feats,#战士特技
Archery Initiate,射箭初学者
Archery Expert,射箭专家
Archery Master,射箭大师
Arms Mastery,武器精通
Axe Initiate,斧头初学者
Axe Expert,斧头专家
Axe Master,斧头大师
Bred for War,战争之子
Tough as Nails,钢铁之躯
Light Armor Mastery,轻甲精通
Medium Armor Mastery,中甲精通
Heavy Armor Mastery,重甲精通
Calloused Hands,粗糙的手掌
Brutality,残酷
Bloodthirsty,杀戮欲望
Club Initiate,棍棒学徒
Club Expert,棍棒专家
Club Master,棍棒大师
Leadership Initiate,领导学徒
Leadership Expert,领导专家
Leadership Master,领导大师
Leadership Grand-Master,领导无上者
Ranger Initiate,游侠学徒
Ranger Expert,游侠专家
Ranger Master,游侠大师
Shield Initiate,屏障学徒
Shield Expert,屏障专家
Shield Master,屏障大师
Sword Initiate,初级剑士
Sword Expert,剑术精通
Sword Master,剑术大师
Two-Handed Initiate,双手剑初学者
Two-Handed Expert,双手剑精通
Two-Handed Master,双手剑大师
