original,translate
This helmet increases the user’s Awareness and Spell Aptitude by +1,这顶头盔使使用者的警觉和法术天赋提高1点
Armored Gauntlets,铠甲手套
Masterwork Armored Gauntlets,精工铠甲手套
Noble's Gloves,贵族手套
Masterwork Noble's Gloves,精工贵族手套
Leather Gloves,皮手套
Masterwork Leather Gloves,精工皮手套
Mailed Gauntlets,邮差手套
Masterwork Mailed Gauntlets,精工邮差手套
Travelers Gloves,旅行手套
Masterwork Travelers Gloves,精工旅行手套
Headwear,头饰
Hat,帽子
Bonnet,帽兜
Leather Coif,皮头巾
Rag,碎布
Hood,面罩
Antlers,角
Reaver Crown,残暴王冠
"A wide-brimmed, felt hat",一顶宽边呢帽
It is quite stylish but offers little protection,看起来很时尚，但提供的防护很少
Wreath,花环
Mail Coif,邮差帽
Coif and Helmet,帽子和头盔
Masterwork Mail Coif,精工邮差帽
Full Helmet,完全头盔
Masterwork Full Helmet,精工完全头盔
Horned Helmet,角盔
Masterwork Horned Helmet,精工角盔
Steel Helmet,钢盔
Masterwork Steel Helmet,精工钢盔
Plumed Helmet,长羽盔
Masterwork Plumed Helmet,精工长羽盔
Tower Helmet,塔盔
Soldier's Helmet,士兵盔
Officer's Helmet,官兵盔
Jester's Cap,小丑帽
#Accessories Jewelry,#配饰 珠宝
Amulet of Perfect Health,完美健康护符
Grants the wearer immunity to Disease,使佩戴者对疾病免疫
The Lunar Ring,月环
The Lunar Ring increases the radius of Aura spells by,月环使光环法术的范围增加 {VALUE}。
Skull Necklace,颅骨项链
An exquisitely crafted necklace that could be quite valuable,一件工艺精美的项链，可能价值不菲
Diamond Necklace,钻石项链
Firegold Necklace,火金项链
Coral Necklace,珊瑚项链
Pagan Necklace,异教徒项链
Beryl Necklace,翡翠项链
Garnet Necklace,石榴石项链
Profane Necklace,贬抑项链
Arcane Necklace,超自然项链
Ancient Necklace,古老项链
Brass Necklace,青铜项链
A necklace that can be sold for a few coins,一条可以卖几个铜板的项链
Opal Necklace,水晶项链
A necklace that will fetch a nice price,一条能卖个好价钱的项链
Silver Necklace,银项链
Gold Necklace,金项链
Copper Necklace,铜项链
Copper Locket,铜锁链
Jade Necklace,翡翠项链
Ruby Necklace,红宝石项链
Ancient Gold Necklace,古老的金项链
Ancient Jade Necklace,古老的翡翠项链
The Guarded Heart,保护之心
A beautifully crafted golden ring with a heart carved into it,一枚精美雕刻着心脏的金色戒指
The wearer of this ring will find their resolve strengthened,戴上这枚戒指，意志力会得到加强
Adds +1 to Will,增加+1意志
Skull Ring,颅骨戒指
An exquisitely crafted ring that could be quite valuable,一枚工艺精美的戒指，可能非常珍贵
Topaz Ring,黄水晶戒指
Lapis Ring,蓝宝石戒指
Frater's Ring,弗拉特的戒指
Sepulchite's Ring,葬礼石的戒指
Flowgold Ring,流金戒指
Wavestrider Ring,涛行者戒指
Tempest Ring,暴风雨戒指
Lupercal Ring,狼之季节戒指
Arboreal Ring,林之戒指
Primordial Ring,原始指环
Ruby Ring,红宝石指环
Genesis Ring,创世指环
Fire Opal Ring,红碧玺指环
Emerald Ring,翡翠指环
Amethyst Ring,紫水晶指环
Serpent Ring,蛇形指环
Aquamarine Ring,海蓝宝石指环
Sunstone Ring,太阳石指环
Green Sapphire Ring,绿色翡翠指环
Brass Ring,青铜指环
"A modest, but well crafted ring",一件朴实但做工精良的指环
Silver Ring,银指环
Gold Ring,金指环
"A modest, but well crafted golden ring",一件朴实但做工精良的金指环
#Accessories - Types,#饰品 - 类型
Footwear,鞋类
Glove,手套
Headwear,首饰
Necklace,项链
Ring,戒指
#Enchantments - Weapons,#法术 - 武器
Accurate Fine Broadsword,精致细长剑
Fine Broadsword of Greater Accuracy,更加精准的精致细长剑
Fine Broadsword of Defence,防御型精致细长剑
Keen Fine Broadsword,锐利的精致细长剑
Savage Fine Broadsword,残酷的精致细长剑
Accurate Fine Club,精致细棒
Fine Club of Greater Accuracy,更加精准的精致细棒
Fine Club of Defence,防御型精致细棒
Keen Fine Club,锐利的精致细棒
Savage Fine Club,残酷的精致细棒
Fine Cutlass of Celerity,速度型精致匕首
Accurate Fine Cutlass,精准的精致匕首
Fine Cutlass of Greater Accuracy,更加精准的速度型精致匕首
Fine Cutlass of Defence,防御型精致匕首
Keen Fine Cutlass,锐利的速度型精致匕首
Savage Fine Cutlass,残酷的速度型精致匕首
Fine Dagger of Celerity,速度型精致匕首
Accurate Fine Dagger,精准的精致匕首
Fine Dagger of Greater Accuracy,精妙准确细匕首
Fine Dagger of Defence,防御精妙细匕首
Keen Fine Dagger,锐利精妙细匕首
Savage Fine Dagger,残酷精妙细匕首
Fine Greataxe of Celerity,精妙迅捷巨斧
Accurate Fine Greataxe,精确精妙迅捷巨斧
Fine Greataxe of Greater Accuracy,精妙迅捷巨斧
Fine Greataxe of Defence,防御精妙迅捷巨斧
Keen Fine Greataxe,锐利精妙迅捷巨斧
Savage Fine Greataxe,残酷精妙迅捷巨斧
Fine Greathammer of Celerity,精妙迅捷巨锤
Accurate Fine Greathammer,精确精妙迅捷巨锤
Fine Greathammer of Greater Accuracy,精妙迅捷巨锤
Fine Greathammer of Defence,防御精妙迅捷巨锤
Keen Fine Greathammer,锐利精妙迅捷巨锤
Savage Fine Greathammer,残酷精妙迅捷巨锤
Fine Handaxe of Celerity,精妙迅捷双手斧
Accurate Fine Handaxe,精确精妙迅捷双手斧
Fine Handaxe of Greater Accuracy,精妙迅捷双手斧
Fine Handaxe of Defence,防御精妙迅捷双手斧
Keen Fine Handaxe,精细轻型战斧
Savage Fine Handaxe,粗糙轻型战斧
Fine longsword of Celerity,精细长剑·迅捷
Accurate Fine longsword,精确精细长剑
Fine longsword of Greater Accuracy,精细长剑·更精确
Fine longsword of Defence,精细长剑·防御
Keen Fine longsword,精细轻型战斧·锋利
Savage Fine longsword,粗糙轻型战斧
Fine Mace of Celerity,精细重锤·迅捷
Accurate Fine Mace,精确精细重锤
Fine Mace of Greater Accuracy,精细重锤·更精确
Fine Mace of Defence,精细重锤·防御
Keen Fine Mace,精细轻型战斧·锋利
Savage Fine Mace,粗糙轻型战斧
Fine Rapier of Celerity,精细长匕首·迅捷
Accurate Fine Rapier,精确精细长匕首
Fine Rapier of Greater Accuracy,精细长匕首·更精确
Fine Rapier of Defence,精细长匕首·防御
Keen Fine Rapier,精细轻型战斧·锋利
Savage Fine Rapier,粗糙轻型战斧
Fine Scimitar of Celerity,精妙的迅捷弯刀
Accurate Fine Scimitar,精妙准确的弯刀
Fine Scimitar of Greater Accuracy,更加精妙准确的弯刀
Fine Scimitar of Defence,精妙防护弯刀
Keen Fine Scimitar,锐利的精妙弯刀
Savage Fine Scimitar,残酷的精妙弯刀
Fine Shortsword of Celerity,精妙迅捷短剑
Accurate Fine Shortsword,精妙准确的短剑
Fine Shortsword of Greater Accuracy,更加精妙准确的短剑
Fine Shortsword of Defence,精妙防护短剑
Keen Fine Shortsword,锐利的精妙短剑
Savage Fine Shortsword,残酷的精妙短剑
Fine Two-hander of Celerity,精妙双手战斧
Accurate Fine Two-hander,精妙的双手战斧
Fine Two-hander of Greater Accuracy,更加精妙准确的双手战斧
Fine Two-hander of Defence,精妙防护双手战斧
Keen Fine Two-hander,锐利的精妙双手战斧
Savage Fine Two-hander,残酷的精妙双手战斧
Fine Waraxe of Celerity,精妙迅捷巨斧
Accurate Fine Waraxe,精妙的巨斧
Fine Waraxe of Greater Accuracy,精妙准确的重型战斧
Fine Waraxe of Defence,精妙防御的重型战斧
Keen Fine Waraxe,锐利的精妙重型战斧
Savage Fine Waraxe,猛烈的精妙重型战斧
Fine Warhammer of Celerity,精妙迅捷的重型战锤
Accurate Fine Warhammer,精准的精妙重型战锤
Fine Warhammer of Greater Accuracy,精妙更精准的重型战锤
Fine Warhammer of Defence,精妙防御的重型战锤
Keen Fine Warhammer,锐利的精妙重型战锤
Savage Fine Warhammer,猛烈的精妙重型战锤
Accurate Masterwork Broadsword,精妙大师级阔剑
Masterwork Broadsword of Greater Accuracy,更精准的大师级阔剑
Masterwork Broadsword of the Master,大师级阔剑之大师
Masterwork Broadsword of Acid,产生酸液的大师级阔剑
Masterwork Broadsword of Defence,防御的大师级阔剑
Masterwork Broadsword of Fire,产生火焰的大师级阔剑
Masterwork Broadsword of Frost,产生寒冰的大师级阔剑
Masterwork Broadsword of the Grand-master,大师级阔剑之大师
Keen Masterwork Broadsword,锐利的大师级阔剑
Savage Masterwork Broadsword,猛烈的大师级阔剑
Masterwork Broadsword of Lightning,雷电精工阔剑
Accurate Masterwork Club,精工准确战棍
Masterwork Club of Greater Accuracy,更高精度精工战棍
Masterwork Club of the Master,精工大师战棍
Masterwork Club of Acid,精工酸液战棍
Masterwork Club of Defence,精工防御战棍
Masterwork Club of Fire,精工火焰战棍
Masterwork Club of Frost,精工寒冰战棍
Masterwork Club of the Grand-master,大师级精工战棍
Keen Masterwork Club,锐利精工战棍
Savage Masterwork Club,残酷精工战棍
Masterwork Club of Lightning,精工雷电战棍
Masterwork Cutlass of Celerity,精工迅捷匕首
Masterwork Cutlass of Speed,精工快速匕首
Accurate Masterwork Cutlass,准确精工匕首
Masterwork Cutlass of Greater Accuracy,更高精度精工匕首
Masterwork Cutlass of the Master,精工大师匕首
Masterwork Cutlass of Acid,精工酸液匕首
Masterwork Cutlass of Defence,精工防御匕首
Masterwork Cutlass of Fire,精工火焰匕首
Masterwork Cutlass of Frost,寒冰精工短剑
Masterwork Cutlass of the Grand-master,大师级精工短剑
Keen Masterwork Cutlass,精准精工短剑
Savage Masterwork Cutlass,残酷精工短剑
Masterwork Cutlass of Lightning,闪电精工短剑
Masterwork Dagger of Celerity,精工迅捷匕首
Masterwork Dagger of Speed,精工迅捷匕首
Accurate Masterwork Dagger,精准精工匕首
Masterwork Dagger of Greater Accuracy,更高精准精工匕首
Masterwork Dagger of the Master,大师级精工匕首
Masterwork Dagger of Acid,酸液精工匕首
Masterwork Dagger of Defence,防御精工匕首
Masterwork Dagger of Fire,火焰精工匕首
Masterwork Dagger of Frost,寒冰精工匕首
Masterwork Dagger of the Grand-master,大师级精工匕首
Keen Masterwork Dagger,精准精工匕首
Savage Masterwork Dagger,残酷精工匕首
Masterwork Dagger of Lightning,闪电精工匕首
Masterwork Greataxe of Celerity,精工迅捷大斧
Masterwork Greataxe of Speed,精工迅捷大斧
Accurate Masterwork Greataxe,精工巨战斧
Masterwork Greataxe of Greater Accuracy,更高精度的精工巨战斧
Masterwork Greataxe of the Master,大师级精工巨战斧
Masterwork Greataxe of Acid,酸液巨战斧
Masterwork Greataxe of Defence,防御巨战斧
Masterwork Greataxe of Fire,火焰巨战斧
Masterwork Greataxe of Frost,冰霜巨战斧
Masterwork Greataxe of the Grand-master,大师中的大师级精工巨战斧
Keen Masterwork Greataxe,锐利的精工巨战斧
Savage Masterwork Greataxe,残酷的精工巨战斧
Masterwork Greataxe of Lightning,闪电巨战斧
Masterwork Greathammer of Celerity,神速精工巨锤
Masterwork Greathammer of Speed,速度快的精工巨锤
Accurate Masterwork Greathammer,更高精度的精工巨锤
Masterwork Greathammer of Greater Accuracy,大师级精工巨锤
Masterwork Greathammer of the Master,酸液精工巨锤
Masterwork Greathammer of Acid,防御精工巨锤
Masterwork Greathammer of Defence,火焰精工巨锤
Masterwork Greathammer of Fire,冰霜精工巨锤
Masterwork Greathammer of Frost,冰霜精工巨锤
Masterwork Greathammer of the Grand-master,大师级巨锤
Keen Masterwork Greathammer,锐利大师级巨锤
Savage Masterwork Greathammer,猛烈大师级巨锤
Masterwork Greathammer of Lightning,雷电大师级巨锤
Masterwork Handaxe of Celerity,速度大师级短斧
Masterwork Handaxe of Speed,速度大师级短斧
Accurate Masterwork Handaxe,精确大师级短斧
Masterwork Handaxe of Greater Accuracy,更高精度大师级短斧
Masterwork Handaxe of the Master,大师级短斧
Masterwork Handaxe of Acid,酸液大师级短斧
Masterwork Handaxe of Defence,防御大师级短斧
Masterwork Handaxe of Fire,火焰大师级短斧
Masterwork Handaxe of Frost,寒霜大师级短斧
Masterwork Handaxe of the Grand-master,大师级短斧
Keen Masterwork Handaxe,锐利大师级短斧
Savage Masterwork Handaxe,猛烈大师级短斧
Masterwork Handaxe of Lightning,雷电大师级短斧
Masterwork Longsword of Celerity,速度大师级长剑
Masterwork Longsword of Speed,速度大师级长剑
Accurate Masterwork Longsword,精确大师级长剑
Masterwork Longsword of Greater Accuracy,精工巨剑·更精准
Masterwork Longsword of the Master,精工巨剑·大师
Masterwork Longsword of Acid,精工巨剑·酸液
Masterwork Longsword of Defence,精工巨剑·防御
Masterwork Longsword of Fire,精工巨剑·火焰
Masterwork Longsword of Frost,精工巨剑·寒冰
Masterwork Longsword of the Grand-master,精工巨剑·大师级
Keen Masterwork Longsword,锋利精工巨剑
Savage Masterwork Longsword,残酷精工巨剑
Masterwork Longsword of Lightning,精工巨剑·闪电
Masterwork Mace of Celerity,精工战锤·迅捷
Masterwork Mace of Speed,精工战锤·快速
Accurate Masterwork Mace,精工战锤·精准
Masterwork Mace of Greater Accuracy,精工战锤·更精准
Masterwork Mace of the Master,精工战锤·大师
Masterwork Mace of Acid,精工战锤·酸液
Masterwork Mace of Defence,精工战锤·防御
Masterwork Mace of Fire,精工战锤·火焰
Masterwork Mace of Frost,精工战锤·寒冰
Masterwork Mace of the Grand-Master,精工战锤·大师级
Keen Masterwork Mace,精湛 keen 精工长柄锤
Savage Masterwork Mace,残酷 savage 精工长柄锤
Masterwork Mace of Lightning,精工长柄闪电之锤
Masterwork Rapier of Celerity,精湛快速精工轻剑
Masterwork Rapier of Speed,精湛迅捷精工轻剑
Accurate Masterwork Rapier,精确精工轻剑
Masterwork Rapier of Greater Accuracy,更加精确精工轻剑
Masterwork Rapier of the Master,精工大师轻剑
Masterwork Rapier of Acid,精工酸液轻剑
Masterwork Rapier of Defence,精工防御轻剑
Masterwork Rapier of Fire,精工烈焰轻剑
Masterwork Rapier of Frost,精工寒冰轻剑
Masterwork Rapier of the Grand-master,精工大师级轻剑
Keen Masterwork Rapier,精湛 keen 精工轻剑
Savage Masterwork Rapier,残酷 savage 精工轻剑
Masterwork Rapier of Lightning,精工闪电轻剑
Masterwork Scimitar of Celerity,精湛快速精工弯刀
Masterwork Scimitar of Speed,精湛迅捷精工弯刀
Accurate Masterwork Scimitar,精确精工弯刀
Masterwork Scimitar of Greater Accuracy,更加精确精工弯刀
Masterwork Scimitar of the Master,大师级精金弯刀
Masterwork Scimitar of Acid,大师级酸液弯刀
Masterwork Scimitar of Defence,大师级防御弯刀
Masterwork Scimitar of Fire,大师级火焰弯刀
Masterwork Scimitar of Frost,大师级寒冰弯刀
Masterwork Scimitar of the Grand-master,大师级巨匠弯刀
Keen Masterwork Scimitar,锐利大师级精金弯刀
Savage Masterwork Scimitar,残酷大师级精金弯刀
Masterwork Scimitar of Lightning,大师级闪电弯刀
Masterwork Shortsword of Celerity,大师级迅捷短剑
Masterwork Shortsword of Speed,大师级快速短剑
Accurate Masterwork Shortsword,精准大师级精金短剑
Masterwork Shortsword of Greater Accuracy,大师级更精准短剑
Masterwork Shortsword of the Master,大师级精金短剑
Masterwork Shortsword of Acid,大师级酸液短剑
Masterwork Shortsword of Defence,大师级防御短剑
Masterwork Shortsword of Fire,大师级火焰短剑
Masterwork Shortsword of Frost,大师级寒冰短剑
Masterwork Shortsword of the Grand-master,大师级巨匠短剑
Keen Masterwork Shortsword,锐利大师级精金短剑
Savage Masterwork Shortsword,粗糙大师级短剑
Masterwork Shortsword of Lightning,雷电大师级短剑
Masterwork Two-Hander of Celerity,神速大师级双手剑
Masterwork Two-Hander of Speed,速攻大师级双手剑
Accurate Masterwork Two-Hander,精确大师级双手剑
Masterwork Two-Hander of Greater Accuracy,更高精度大师级双手剑
Masterwork Two-Hander of the Master,大师级双手剑之巅
Masterwork Two-Hander of Acid,腐蚀大师级双手剑
Masterwork Two-Hander of Defence,防御大师级双手剑
Masterwork Two-Hander of Fire,火焰大师级双手剑
Masterwork Two-Hander of Frost,寒冰大师级双手剑
Masterwork Two-Hander of the Grand-master,大师级双手剑之王
Keen Masterwork Two-Hander,锐利大师级双手剑
Savage Masterwork Two-Hander,粗糙大师级双手剑
Masterwork Two-Hander of Lightning,神速大师级战斧
Masterwork Waraxe of Celerity,速攻大师级战斧
Masterwork Waraxe of Speed,精确大师级战斧
Accurate Masterwork Waraxe,更高精度大师级战斧
Masterwork Waraxe of Greater Accuracy,大师级战斧之巅
Masterwork Waraxe of the Master,大师级战斧
Masterwork Waraxe of Acid,酸液巨匠战斧
Masterwork Waraxe of Defence,防御巨匠战斧
Masterwork Waraxe of Fire,火焰巨匠战斧
Masterwork Waraxe of Frost,寒冰巨匠战斧
Masterwork Waraxe of the Grand-master,大师巨匠战斧
Keen Masterwork Waraxe,锐利巨匠战斧
Savage Masterwork Waraxe,残酷巨匠战斧
Masterwork Waraxe of Lightning,闪电巨匠战斧
Masterwork Warhammer of Celerity,速度巨匠战锤
Masterwork Warhammer of Speed,速度巨匠战锤
Accurate Masterwork Warhammer,精确巨匠战锤
Masterwork Warhammer of Greater Accuracy,更高精度巨匠战锤
Masterwork Warhammer of the Master,大师巨匠战锤
Masterwork Warhammer of Acid,酸液巨匠战锤
Masterwork Warhammer of Defence,防御巨匠战锤
Masterwork Warhammer of Fire,火焰巨匠战锤
Masterwork Warhammer of Frost,寒冰巨匠战锤
Masterwork Warhammer of the Grand-master,大师巨匠战锤
Keen Masterwork Warhammer,锐利巨匠战锤
Savage Masterwork Warhammer,残酷巨匠战锤
Masterwork Warhammer of Lightning,精工雷电战锤
Fine Composite Bow of Celerity,精致复合弓·迅捷
Accurate Fine Composite Bow,精致复合弓
Fine Composite Bow of Greater Accuracy,更加精准的精致复合弓
Fine Composite Bow of Defence,防御型精致复合弓
Keen Fine Composite Bow,锐利的精致复合弓
Savage Fine Composite Bow,残酷的精致复合弓
Fine Longbow of Celerity,精致长弓·迅捷
Fine Longbow of Speed,精致长弓·快速
Accurate Fine Longbow,精准的精致长弓
Fine Longbow of Greater Accuracy,更加精准的精致长弓
Fine Longbow of Defence,防御型精致长弓
Keen Fine Longbow,锐利的精致长弓
Savage Fine Longbow,残酷的精致长弓
Fine Shortbow of Celerity,精致短弓·迅捷
Accurate Fine Shortbow,精致短弓
Fine Shortbow of Greater Accuracy,更加精准的精致短弓
Fine Shortbow of Defence,防御型精致短弓
Keen Fine Shortbow,锐利的精致短弓
Savage Fine Shortbow,残酷的精致短弓
Masterwork Composite Bow of Celerity,精工复合弓·迅捷
Masterwork Composite Bow of Speed,精工复合弓·速度
Accurate Masterwork Composite Bow,精工复合弓·精准
Masterwork Composite Bow of Greater Accuracy,精工复合弓·更精准
Masterwork Composite Bow of the Master,精工复合弓·大师
Masterwork Composite Bow of Acid,精工复合弓·酸液
Masterwork Composite Bow of Defence,精工复合弓·防御
Masterwork Composite Bow of Fire,精工复合弓·火焰
Masterwork Composite Bow of Frost,精工复合弓·寒霜
Masterwork Composite Bow of the Grand-master,精工复合弓·大师级
Keen Masterwork Composite Bow,锐利精工复合弓
Savage Masterwork Composite Bow,残酷精工复合弓
Masterwork Composite Bow of Lightning,精工复合弓·雷电
Masterwork Longbow of Celerity,精工长弓·迅捷
Masterwork Longbow of Speed,精工长弓·速度
Accurate Masterwork Longbow,精工长弓·精准
Masterwork Longbow of Greater Accuracy,精工长弓·更精准
Masterwork Longbow of the Master,精工长弓·大师
Masterwork Longbow of Acid,精工长弓·酸液
Masterwork Longbow of Defence,精工长弓·防御
Masterwork Longbow of Fire,炽焰大师级长弓
Masterwork Longbow of Frost,寒霜大师级长弓
Masterwork Longbow of the Grand-master,大师级长弓
Keen Masterwork Longbow,锐利大师级长弓
Savage Masterwork Longbow,残酷大师级长弓
Masterwork Longbow of Lightning,闪电大师级长弓
Masterwork Shortbow of Celerity,速度大师级短弓
Masterwork Shortbow of Speed,速度大师级短弓
Accurate Masterwork Shortbow,精确大师级短弓
Masterwork Shortbow of Greater Accuracy,更高精度大师级短弓
Masterwork Shortbow of the Master,大师级短弓
Masterwork Shortbow of Acid,酸液大师级短弓
Masterwork Shortbow of Defence,防御大师级短弓
Masterwork Shortbow of Fire,炽焰大师级短弓
Masterwork Shortbow of Frost,寒霜大师级短弓
Masterwork Shortbow of the Grand-master,大师级短弓
Keen Masterwork Shortbow,锐利大师级短弓
Savage Masterwork Shortbow,残酷大师级短弓
Masterwork Shortbow of Lightning,闪电大师级短弓
#Enchantments - Armor,#法术 - 防具
Fine Breastplate of Athletics,精致的运动胸甲
Fine Breastplate of Awareness,精致的警觉胸甲
Fine Breastplate of Crafting,精致的制作胸甲
Fine Breastplate of Defence,精致的防御胸甲
Fine Breastplate of Diplomacy,精致的外交胸甲
Fine Breastplate of Healing,精致的治疗胸甲
Fine Breastplate of Celerity,精致的迅捷胸甲
Fine Breastplate of Lore,精致的知识胸甲
